city,team,team_id,type,geo,grouping
El Menzah,Tunisia,16276,national,788,G
Ciudad de Panamá,Panama,17929,national,591,G
Bruxelles (Brussel),Belgium,5629,national,56,G
London,England,2413,national,0,G
