city,team,team_id,type,geo,grouping
Rabat,Morocco,16216,national,504,B
Lisboa,Portugal,9905,national,620,B
Tehrān (Teheran),Iran,10840,national,364,B
Las Rozas,Spain,1598,national,724,B
