city,team,team_id,type,geo,grouping
Bogotá D.C.,Colombia,12430,national,170,H
Tōkyō (Tokyo),Japan,12913,national,392,H
Dakar,Senegal,19314,national,686,H
Warszawa,Poland,13869,national,616,H
