city,team,team_id,type,geo,grouping
Moskva,Russia,14358,national,643,A
Montevideo,Uruguay,15670,national,858,A
Cairo,Egypt,16129,national,818,A
Ar-Riyāḍ (Riyadh),Saudi Arabia,16521,national,682,A
