city,team,team_id,type,geo,grouping
Seoul,Korea Republic,14855,national,410,F
Solna,Sweden,7047,national,752,F
Frankfurt am Main,Germany,3148,national,276,F
"Coyoacán, Ciudad de México (D.F.)",Mexico,15473,national,484,F
