city,team,team_id,type,geo,grouping
"Buenos Aires, Ciudad de Buenos Aires",Argentina,12274,national,32,D
Reykjavík,Iceland,7839,national,352,D
Zagreb,Croatia,9598,national,191,D
Abuja,Nigeria,16823,national,566,D
